"RequirementID","Collision","MatchCount","MatchingFiles"
"REQ-PRICE-DC-001","False","0",""
"REQ-PRICE-DC-002","False","0",""
"REQ-PRICE-DC-003","False","0",""
"REQ-PRICE-DC-004","False","0",""
"REQ-PAY-PROD-001","False","0",""
"REQ-PAY-PROD-002","False","0",""
"REQ-PAY-PROD-003","False","0",""
"REQ-PAY-PROD-004","False","0",""
"REQ-CX-RF-001","False","0",""
"REQ-CX-RF-002","False","0",""
"REQ-CX-RF-003","False","0",""
"REQ-CX-RF-004","False","0",""
"REQ-OMS-CAN-001","False","0",""
"REQ-OMS-CAN-002","False","0",""
"REQ-OMS-CAN-003","False","0",""
"REQ-OMS-CAN-004","False","0",""
"REQ-OMS-BR-001","False","0",""
"REQ-OMS-BR-002","False","0",""
"REQ-OMS-BR-003","False","0",""
"REQ-OMS-BR-004","False","0",""
"REQ-LOY-RULE-001","False","0",""
"REQ-LOY-RULE-002","False","0",""
"REQ-LOY-RULE-003","False","0",""
"REQ-LOY-RULE-004","False","0",""
"REQ-LOY-RULE-005","False","0",""
"REQ-PRICE-FD-001","False","0",""
"REQ-PRICE-FD-002","False","0",""
"REQ-PRICE-FD-003","False","0",""
"REQ-PRICE-FD-004","False","0",""
"REQ-OMS-PH-001","False","0",""
"REQ-OMS-PH-002","False","0",""
"REQ-OMS-PH-003","False","0",""
"REQ-OMS-PH-004","False","0",""
"REQ-OMS-PH-005","False","0",""
"REQ-OMS-PH-006","False","0",""
"REQ-OMS-PH-007","False","0",""
"REQ-OMS-PH-008","False","0",""
"REQ-OMS-PH-009","False","0",""
"REQ-OMS-PH-010","False","0",""
"REQ-OMS-PH-011","False","0",""
"REQ-OMS-PH-012","False","0",""
